Emotion,keywords
sadness,can t imagine any reader feels lethargic calm and content after reading it
anger,can t imagine that it is a newly developed tendency and  realization that have made things so much harder on myself over  years leaves me feeling mad at myself
sadness,can t justify get a little annoyed when non diabetics say y have low blood sugar because imagine ir low blood sugars don t feel as terrible as mine do
joy,can t let go of that sad feeling that want  be accepted here in this first home of mine
joy,can t make myself feel sadnessful but can focus on  positive
anger,can t put a finger on what is making me feel exceedingly irritable and unsettled
anger,can t relax my heart skips a beat now and n feel or people s emotions get irritated when am pacing around not knowing what need  do  feel better
joy,can t say feel all that sympatic
sadness,can t say it s made me feel any less depressed anxious but mingled in with  depression is a certainty that can get   or side if keep putting one foot in front of  or
joy,can t say was feeling  least bit inspired by  idea that was going  be riding through wear like this at random times over  coming hrs
anger,can t shake  feeling of being fundamentally dissatisfied with my selection in  democratic primaries
joy,can t show my feelings well  my family and   fans eir
fear,can t sp thinking about it feel paranoid like y re judging me know y re probably now but just feel that way
joy,can t speak for anyone else but se activities have also helped me go from simply being okay with certain coworkers  feeling friendly wards m
joy,can t stand it feel like hes spying on me and not trusting me and above all of that feel disrespect  my personality
fear,can t take medication because its triggering have  be really at  point of can t stand what m feeling anymore just so can get past that barrier but medicine has me afraid of vomiting
joy,can t tell you fortunate feel  have access  so many wonderfully talented phographers like yourself
joy,can t understand why you keep hiding your feelings when he s so fond of you
sadness,can t wait  get it over with m not feeling stressed but absolutely hating studying
joy,can take away from this experience is that slowing down is not a bad thing feeling like cant do things sucks but choosing  not do m is just fine by me
sadness,can tally sympathize with everyone here who doesn t speak native english as feel like a brain damaged five year old whenever try  speak japanese for any length of time
joy,can tell most of  time what shes really feeling and she was being really sincere
joy,can tell myself that feel like trust ors and yet what am actually feeling is loyal which can cause me  pretend that re is trust when re is none
sadness,can tell pms is at work because feel so weepy
fear,can tell you  things don t feel that maybe should be feeling but can t really put my finger on  cause of my being shaken
sadness,can tell you exactly what is wrong at this very moment this very second grieve for my son miss my son feel as though am being punished and living in a hell at times
fear,can tell you that feel oddly vulnerable and disjointed and like just dont want  come out and play a lot of  time
anger,can think about is how lonely feel all grouchy and agitated and esily airritated
fear,can think of  quit are not based on my own needs and wants but those of ors scars make or people feel uncomfortable self injury makes friends feel like y aren t offering enough support cutting is something sad teenagers do
sadness,can truly empathize with your feelings of failure and discontent would challenge you  re focus that energy in order  gear up for  next cycle
fear,can understand feeling uncertain about  abc link
joy,can understand her feelings and greatly value her passionate approach  life and while benefit daily from her ability  empathize with my own feelings seem  lack  capacity  return that gift  her
sadness,can understand that  people here are not nice  m and that y feel isolated and alone and think this life is just not worth it anymore
fear,can understand that you may feel youd rar not do your bit for  vulnerable and homeless in london in that precise way
sadness,can use  data comparatively  determine wher am feeling disappointed elated inspired et cetera
joy,can use se moments as an opportunity  feel that radiant beautiful soul that has been hidden for so long behind those walls
sadness,can usually do a month without feeling homesick
joy,can usually tell if someone is being honest can feel if y are sincere and if y are just teasing
joy,can vent some feelings or keep one person entertained n will be happy
sadness,can walk  entire grocery sre without feeling like y re going  give out and  aching doesn t happen often anymore
fear,can walk down anor street and sp feeling helpless and hopeless
sadness,can wear anything and not feel bad
sadness,can whine and pour my heart out without feeling awkward
sadness,can write about it in my journal or something am good at keeping a secret from  world no it depresses me and although feel idiotic happiuness is bliss watch  news
anger,can write as many entries as humanly possible in one day and still feeling dissatisfied that write everything wanted   fact that complain all  time about being lonely
surprise,canadian magic atlantic station
joy,canadian wake  saturday morning watch hockey lol atleastigettimmies
anger,cancel   appointment amazing work sure house day
joy,cancelled work ridiculous pile books through en route live unlibrary till wednesday
joy,candle amp pink christmas tree
sadness,candles colour represent sorrow failure love parts lives 
sadness,candles colour represent sorrow failure love parts lives 
sadness,candy come good it do
joy,candy making family grammas  hands best christmas
joy,cannibalism crime people sp hate love cupcakes
fear,cannot and feel a strange sadness for a thing that m now ready for but cannot do
sadness,cannot deny that right now am feeling disillusioned with  avon
fear,cannot describe  you  feeling of frantic alarm that overok me
sadness,cannot describe how happy feel an emotional may sophat a year old patient from kandal said in  recovery room
joy,cannot feel more sincere
sadness,cannot feel my lips y are numb and burning
fear,cannot help but feel a bit anxious on how this delivery will go hopefully anor vbac if all goes as planned
joy,cannot help but feel inspired and uplifted both by martinez himself and by his association with occupy wall street
anger,cannot help but feel outraged  recognize that essentially children in america have no rights at all
joy,cannot help but feel proud and grateful  be an america
sadness,cannot help but feel that my life is a series of not so unpleasant accidents stumbling about trying  do  right thing
anger,cannot in good conscience encourage my young kids read stuff from someone feel is so vile no matter how good it is
anger,cannot remember in which mix heard this first and not remembering it is making me feeling all irritable
joy,cannot see and help me  feel more confident that my god is exactly who he says he is and that can trust him
sadness,cannot seem  shake this feeling of being completely numb
joy,cannot sp listening  feel  or cool thing about this album is  embossed fear on  cover know you cannot see it in  picture thanks camera
joy,cannot sp loving you and it just feels amazing it really fills my heart so let me
joy,cannot speak for ors but all know is feel am  most successful prettiest version of myself when walk out of my starbucks with my red cup holiday cup in hand
joy,cannot thank you enough for always finding a way  make me feel better
fear,cannot wait  be human again ahkman  feel your kiss but am so frightened
fear,canoeing harbour winds   knots rising seas
joy,canonbury butcher gifted sack beautiful beef bones roasting sck winterfood
fear,canr  sing psalms church weeks ago sing o organist tell time know psalm afraid said sing
disgust,cant   disgusting conversation morning honestly wanna throw
anger,cant  cant charge mistake 
anger,cant  dare tell going marry 
anger,cant  dare tell going marry 
anger,cant  dare tell going marry 
sadness,cant  work 
anger,cant abide  political mess  country is in though feel equally enraged about  state of uk politics
joy,cant agree 
sadness,cant alvin chipmunks commercial missing best friend
sadness,cant always identify with peoples struggles and often feel pretty lame because of that but a href http www
neutral,cant answer 
sadness,cant apple jacks res ice milk 
neutral,cant bad 
sadness,cant be a counselor for you in  way feel should am o damaged myself
sadness,cant be bored as coming and doing is a pleasant pass time followed by cascades of positive feelings unless you are sexualy troubled
anger,cant bear anymore  sick drinking  divorcing 
joy,cant beat bit division interzone
fear,cant bed  looking window hoping car robbed  vacation
fear,cant bed  looking window hoping car robbed  vacation
joy,cant begin  imagine how it must feel  be an intelligent wonderful person that is limited in some way because of a phyica disability
sadness,cant begin  think of how that would feel morose doesnt even begin  cover it
sadness,cant beleive college football season over
sadness,cant believe   left sad love u mr bell
joy,cant believe  moment where feel  most useful is when washing  dishes
joy,cant believe  years got married 
sadness,cant believe buehrle south side hell south beach instead whitesox
disgust,cant believe cyclist bbc london news said think ambulance guys came rescue
sadness,cant believe dis man kickeddis woman mouth wow bruh
sadness,cant believe feel way lose day lose badly
anger,cant believe going miss training session bloody bus broke
disgust,cant believe grown men think ok uch children kill uches girls
disgust,cant believe guy talk gonna baby
surprise,cant believe library night like night
anger,cant believe memory chose day remind you hate
sadness,cant believe missing opening day football team needs pep band letsgoblue
neutral,cant believe mr  fro buy  guy think  bill gates 
joy,cant believe play good 
anger,cant believe repeated episode second day straight
joy,cant believe res  days left christmas let time crunching begin presents lastminuteshopping 
sadness,cant believe saying room   big ass simp album
sadness,cant believe school morrow ruinseverything
sadness,cant believe spent entire  days mesa saw   like  minutes imissher
anger,cant believe teacher forgot lunch time hour early observation
sadness,cant believe thanksgiving break morrow 
fear,cant believe this is  feeling was so afraid of not disdain or hatred instead its just actual nothingness laced with a small dash of repulsion
anger,cant believe verge risking worked hard for
sadness,cant believe wasted time game shoulda asleep
sadness,cant believe went watched breaking dawn date
sadness,cant believe with that statement being said that already feeling sexually deprived
sadness,cant belive chuck going end nerd spy colonel yve change life chuck miss 
sadness,cant belive wont news   long time
sadness,cant blame anything or anyone but myself and ive spent  day feeling miserable crying again whenever remember realizing it was all my fault
joy,cant blog if feeling inspired and once do blog lose inspiration
joy,cant buy enjoy life free recieve wordgod sunday gospel aka delianovision iaso
disgust,cant c hittn follow butn follow yo ignorant ass back
surprise,cant carry books anymore guess time actual bookbag
joy,cant change how he feels find  positive
sadness,cant choose cards weve dealt quotfuck lifequot gtlt
sadness,cant continue  be  whipping post for someone who feels lousy about mselves
anger,cant control mad hard cool
sadness,cant cordial w exes  cos cant handle friends thought w else 
joy,cant decide how feel about some of  supporting roles particularly  girlfriend and alfred molina both quite funny but were y one dimensional caricatures or legitimate characters simply overshadowed by a fantastic lead
fear,cant decide shirt wear night
fear,cant decide shirt wear night
fear,cant describe anxiety gym pull locker room door exact time pushing it
sadness,cant describe how feeling without giving it away but in a way feeling a bit heartbroken but definitely uched
joy,cant description here feel joyful things good relation people especially friend says loves tell love him
sadness,cant do anything about it except for feel devastated cant do anything practical about it yet
anger,cant do eir of se things so end up trying my hardest  suppress se feelings which makes me irritable and is very tiring
fear,cant dream afraid dream fear  meet answer  courage  selfawareness
sadness,cant eat cause got weight
joy,cant escape  tears of sadness and just true grief feel at  loss of my sweet friend and sister
joy,cant escape  tears of sadness and just true grief feel at  loss of my sweet friend and sister
fear,cant even explain how difficult it is  tear yourself away from something you both love and feel doubtful of
anger,cant even get through schindlers list much less see  actual death chambers and feel  ghosts of  rtured around me
sadness,cant even pay attention because feel so lame watching it
joy,cant even remember what it feels like  be loved
sadness,cant even tell you how refreshed feel exhausted
joy,cant excited brings home halfprice loo rolls stale cough sweets 
joy,cant explain feel bids item seling expected get  days left
fear,cant explain feelings verbally emotionally flowso instead saying nothinggood avoiding
joy,cant explain how proud of ham and  feeling of seeing hso determined each time  win
joy,cant explain how truly feel but some words that encapsulate some of my me ness currently ecstatic happy bouncy relieved energised in a mood  dance wanting chocolate wanting  socialise right now smiley and about here lose words that express but bah so emo
joy,cant explainquotgive thatquot mailimusic kirkfranklin
joy,cant face people ask question tell truth dont believe menotgood
sadness,cant fall asleep
joy,cant fall asleep thinking things right now   hours
anger,cant fan road users day
fear,cant fear damn thing want thing
sadness,cant feel  pain but feel  aching ness of my cheek dont know if its because of  long period of opening my mouth
sadness,cant feel christmas spirit 
joy,cant feel complacent
joy,cant feel m loving me back
anger,cant find armour run ltltltlt
anger,cant find audio file want copy anymore eirdamn you non physical form media
sadness,cant find face soap bout wash face bath soap
sadness,cant find it in my heart  feel  least bit disappointed for having missed it
sadness,cant find lights christmas treec
sadness,cant find online rental jurassic park vhs fed up day tradition ruined
joy,cant find peppermint oil lavender oil nose clean up
sadness,cant find remote dont wanna watch channel 
sadness,cant find sweaty race pics fb
sadness,cant focus sewing focused sew thats kind day turned in
fear,cant force heartache amp regret mind sorry enough sckholm insomnia anxiety depression
joy,cant fully express joy feel wholeheartedly returns smile quota cheerful heart good medicinequot proverbs a
sadness,cant game    amp meet   
fear,cant get traction and start feeling rtured by time as my friend denise puts it
anger,cant get wrapped up in that kind of crap tv because my brain starts getting mushy and feel feverishly hostile
sadness,cant give you all what wanted  and feel it in my aching heart my sweaty palms and my sleep deprived addled brain
joy,cant hang watch michel gondry movies night
joy,cant hate o much because feel like shes looking pretty damn flawless in se pics
joy,cant help  think abt ppl day food  eat pray god brings amp provides need
joy,cant help but also feel incredibly lucky over how it all went down and  community around us
anger,cant help but feel a bjealous of ir professional organization good support system and comfortable living situation
fear,cant help but feel a little bit agitated
sadness,cant help but feel a little humiliated
joy,cant help but feel a little jubilant as walk through  arrivals gate
joy,cant help but feel a longing  be outside more  feel  rain on my skin and sticky tree droppings on my feet
joy,cant help but feel amused hmm
joy,cant help but feel as though perhaps my perception isnt as keen as once thought
fear,cant help but feel distraught
joy,cant help but feel excited for  part where get  hang out with hand we can start  talk like friends talk and watch each or live our separate lives
sadness,cant help but feel helpless and overwhelmed by  mistakes ive made
joy,cant help but feel hopeful and optimistic about a brighter future
sadness,cant help but feel how much burdened my parents are
sadness,cant help but feel like doing something dirty
sadness,cant help but feel so burdened
sadness,cant help but feel so helpless
sadness,cant help but feel somehow he was punished in hear mills divorce settlement he is he does have a good sense of hum
anger,cant help but feel someones going  end up pissed at me
sadness,cant help but feel somewhat heartbroken by this news
fear,cant help but feel suspicious of everything
sadness,cant help but feel that bioware have missed an opportunity here
anger,cant help but feel that if hadnt had been so selfish n could have sheltered you from feeling this way now
joy,cant help but feel that it is somewhat special
joy,cant help but feel that need  be delicate
joy,cant help but feel that youll just break me again and that you might not be as faithful as you seem
fear,cant help but feeling a little hesitant about my decision just because of  magnitude of  decision
sadness,cant help but wince as do that feeling an unpleasant tightness in my back and a dull ache in my head since ive opted for resting it against  wall behind me
joy,cant help but wonder if  or mom walked with felt  same way was feeling as she watched her sweet girls with my isaac
joy,cant help feel overwhelmed joy day happiness goodday
joy,cant help feel warm fuzzy inside boss greatly compliments work happy proud like a boss
fear,cant help feeling agitated about
sadness,cant help feeling exhausted
joy,cant help feeling like specifically my weight loss plight however successful is boring
anger,cant help feeling mad at this man
sadness,cant help feeling ugly
joy,cant help how feel aside with a few like dick hobbs and rebecca mcpherson not exactly a popular guy at school
sadness,cant help how feel sorry
sadness,cant help it because of  way feel around my family like pairs of eyes boring in my back and just observing me all  time
anger,cant help looking back on  child was and feeling rar jealous but am also delighted  be living in a time when a nine year old child in some parts of  world can read a thousand books a year if she he wishes and is able 
sadness,cant help think tiasgtmelanie game pregnancy reason games season begin january
joy,cant hide my feeling when feel so glad
joy,cant honestly say that was ensadnessing  actual running much but was feeling  benefits and liked being out in  fields and woodland seeing  changes in  seasons and getting lungfuls of fresh air
sadness,cant imagine  agony those folks feel waiting for news about ir own sentimental things
sadness,cant killing inside love do
fear,cant lead people love you like following
fear,cant learn latin  rt   learn hisry cant concentrate think bipolar
sadness,cant leave lunch hour searching pix dd haley yelling sigh over withyelling
anger,cant let all se feeling in one blink not a heartless person like you give you a lot of change give you a lot of change  come and change your decisions give you a lot of change  find me but you threw it like a crap
joy,cant let past determine future
sadness,cant listen party rock missing kd buddies
surprise,cant listen result victagain 
anger,cant log twitter phone
anger,cant mario kart  connect online play mariokart ds
sadness,cant nice people getting wrong idea
joy,cant nothin steal lord jus keeps blessng me job advancement amp special blessing lordimsogreatful
neutral,cant open door 
sadness,cant participate fun run morrow
fear,cant police  definitely following 
fear,cant police  definitely following 
fear,cant police  definitely following 
anger,cant prick fish sick tastes bloody people 
joy,cant quite believe it but feel more lively and awake ths morning than have in ages
sadness,cant quite put my finger on it yet  reason why feel so listless
sadness,cant really describe  feeling that have except  say that am incredibly burdened
anger,cant really explain  feeling get inside when someone is mad at me
anger,cant really understand my feeling cause its a mixture between bitter and a sour one which even dont get
sadness,cant remember club penguin login info
anger,cant remember exact example
joy,cant remember specific event  moderately happy year ago
joy,cant remember time ill day day
anger,cant remember time passionate punching
anger,cant remember truly angry usually disappointment feel situation bror close avoiding me
joy,cant say that feel as peaceful when my loved ones are  sufferers
joy,cant seats sitting room myself
joy,cant seem  command it a feeling sure anyone can relate 
joy,cant shake  familiar feeling that ive got precious little time left
joy,cant shake  feeling that when drink vanilla protein powder and water it tastes like mashmellows in hot chocolate mix
joy,cant shake  feeling that wouldnt have liked this book if hadnt already felt a connection  se characters
joy,cant shake  hiding how feel about myself beneath a fab jacket vibe and this style doesnt mesh well with most of  clos wear
anger,cant shake off my feelings of being offended and hurt no matter how hard try and  conversation keeps consuming my every thought
sadness,cant sing right sore throat love song o
surprise,cant sleep again text company 
anger,cant sleep and re read happy posts and go past  one about picnic day and get so happy like james you make me so happy love you and n repeat as soon as feel jealous
anger,cant sleep body ive shows workout day u want
joy,cant sleep class  morrow going well especially knowing working right class
sadness,cant sleep excited school
joy,cant sleep forgot sleeping pill wake  morrow thos gonna fun
joy,cant sleep left cause ear hurts much
joy,cant sleep morrow long day
sadness,cant sleep n tired play dress up
joy,cant sleep school morrow
joy,cant sleep sleep life big nightmare
joy,cant sleep waking  morrow butreally
joy,cant sleep work morrow 
sadness,cant sleepthinking past
surprise,cant sp bragging mac miller march wme djing danbury ct
joy,cant sp feeling delighted with myself
fear,cant sp here drone country
joy,cant sp smiling thankful life people brought path
fear,cant sp talking even though already feel weird uncomfortable feeling swarming me but still my mouth keeps saying unnecessary word
sadness,cant sport chargers hat til august seasonisover gotebow
anger,cant stand  sick drinking 
disgust,cant stand fake ass bitchniggaugh
disgust,cant stand guys lie girls saying girl
disgust,cant stand helping people mouth quotmouthquot smells like ass
anger,cant stand music sky movies advert especially  colin firth scene
anger,cant stand riding bus 
anger,cant stand stupid guy longer  unbelievable 
anger,cant stand stupid guy longerit  unbelievable 
fear,cant stand telling guy word like you scared reaction
sadness,cant stand whn thats wide awake {oo} 
joy,cant talk  anyone about how feel because feel like just a burden  m and with all of ir problems y dont need  be dealing with mine as well
joy,cant talk anybody sister phone broke
sadness,cant talk drive youarenotamultitasker  
joy,cant tally defend her  woman wanted  be famous and nobody around her seems  be able  tell her how  handle fame britney leave los angeles when you can for starters but am starting  feel a lot more sympatic ward her
sadness,cant tell bad feel right quitting smoking 
sadness,cant tell if  moments of shock that not feeling are because jaded or if lovecraft actually missed  note  use a musical analogy
joy,cant tell you  last time have woken up feeling like slept well
joy,cant tell you  sadness was feeling as held my now calm son
joy,cant tell you in words how much feel honored that my pho made it in this gallery
fear,cant thing anymore russians coming chicoms coming terrorists comingand on
sadness,cant think single thing want christmas
sadness,cant this fuuuccckk whyd dieeeeee die real  years born somuchsadness
fear,cant time choose love ~jg
anger,cant true coldplay fan heard mylo xylo rush blood head x amp y viva la vida ect
anger,cant u normal chocolate mampms cinema anymore
joy,cant uch tangibly feel tangibly affect mesy rogers
joy,cant wait   brings holiday season
fear,cant wait   finish football snuggle needed
joy,cant wait   morrow morning
surprise,cant wait   night little know sleeping bed
surprise,cant wait   open christmas prezzie christmas
joy,cant wait  feel her innocent spirit
joy,cant wait  hour shift morrow starting am
joy,cant wait  hours lab
joy,cant wait awkward situation period sarcasm
surprise,cant wait big surprise morrow wish coming true building wish
surprise,cant wait birthday weekend away   
surprise,cant wait black friday buying birthday gifts
joy,cant wait book talk morrow  finished book 
surprise,cant wait buy mom awesome
joy,cant wait catch  missed days notes
joy,cant wait christmas gifts love happy got  weeks christmas fun begin
joy,cant wait christmas light looking 
joy,cant wait christmas party hastagquestionmark  
joy,cant wait church morrow worshipping praising sing man helped trouble good times
fear,cant wait day feel rt   afraid morrow seen yesterday love day less
joy,cant wait decorate tree   changes lyrics quotbaby cold outsidequot rape song christmas
joy,cant wait drive skool snow mrw
joy,cant wait eat lasagna breakfast   house meat
anger,cant wait everlast pink heavy bag
surprise,cant wait face morrow d
surprise,cant wait friday gonna awesome  fun stand
surprise,cant wait friends twins m d
joy,cant wait fun weekend ohh wait cant anything
fear,cant wait future though ive wishing things im
surprise,cant wait game friday  were staying   s christmas parade saturday  haha
joy,cant wait happy amp love amp rich amp pretty goodlife
joy,cant wait home fambam miss much
surprise,cant wait lads face christmas morning
sadness,cant wait leave place cant feel funkiness anymore
joy,cant wait leave work amp clean baby daddys effing puke 
joy,cant wait library again works come
surprise,cant wait lil goofy smile
surprise,cant wait look   s face realizes cut hole popcorn
surprise,cant wait look familys faces walk door
surprise,cant wait mail comes morrow   knows
anger,cant wait matchday morrow kick ass justbringit
joy,cant wait meet matts parents morrow new boyfriend eh kind boyfriend 
surprise,cant wait morrow   thank sunshine  
surprise,cant wait mors face morrow expecting home till wednesday
surprise,cant wait night oomf said expect unexpected this interesting
surprise,cant wait ruin dance
joy,cant wait school thanksgiving day  tests
joy,cant wait sit docrs office reception area read fix meatloaf  ways amp catch 
joy,cant wait sleep morrow study night morrow night oh  essays due
joy,cant wait spend lunchtime mrs good morrow
joy,cant wait spinal tap morrow
joy,cant wait squat day
anger,cant wait study hour c vocab quiz
surprise,cant wait surprise bror gig tickets   brixn
surprise,cant wait til   home
joy,cant wait till  summer when we feel somewhat carefree once again
joy,cant wait till able drive
surprise,cant wait till bro gets home ilovemybror
fear,cant wait till facr
surprise,cant wait till mom comes home sees dad cleaned got rid bunch stuff
surprise,cant wait till saturday night  
joy,cant wait till weekend yo
surprise,cant wait wake morning saint nick brought  goodies
joy,cant wait wake morrow amp fake smile wanna bed fuckeveryone ihateyouall
joy,cant wait watch   basketball game yippe
fear,cant wait watch facr morrowat
joy,cant wait wisdom teeth christmas break
joy,cant wait work morrow wednesday thursday friday saturday
sadness,cant wake early school  dont school  im
sadness,cant warm out miss summer much    
sadness,cant watch kktny cause cable 
joy,cant wear skirt morrow high going ∫
sadness,cant work problem 
anger,cant xmas shoppers shopping day instead clogging congested rush hour late
joy,capricorn seriousminded practical  likes things conventional ways  sounds like 
anger,captain basketball team usually organise roster system team turn duty ref lot time girls cant bored forget  usually fill in
joy,captain mcarthur musical comedy aficionado  pleased mrs kingswood spoke critically form 
joy,captain mcarthur musical comedy aficionado  pleased mrs kingswood spoke critically form 
joy,captain school swimming team team points relay relay swam in team championship
joy,car
neutral,car 
neutral,car 
sadness,car   years  months  days latersold it
anger,car  start  stupid old car 
anger,car  start  stupid old car 
fear,car accident
fear,car accident
fear,car accident car tal wipe wipe out write off
fear,car accident middle night
fear,car accident nearly occurred drunk driver coming opposite direction missed approx  collided after rolling twice midair nearby scrub
fear,car accident travelling passenger narrow bitumen road night  trying overtake semitrailer truck pulled hit wet dirt swerved truck verge guide post ditch
sadness,car accident way weekend rowing regatta wed won  car thought id able row again
fear,car accident woke heap snes
joy,car bob sight school
fear,car came close hitting whilst crossing street
sadness,car campus preventing going taco bell right now
surprise,car day
surprise,car door frozen morning surprise
fear,car driving skidded icy road landed ditch rock
sadness,car froze start it
sadness,car got broken office maxwhat awesome day phone camera window worstdayever
anger,car journey fellow student crossed way car bump roadside trunk
surprise,car k searched hell find anything
surprise,car magnet comes ppl windowchalking dicks it  notsttimeitshappened
fear,car mom driving scariest thing
anger,car overtaking forced drive road
joy,car packed nc work  hours
fear,car parents friends reverse pass river recall  yrs going fall drown
sadness,car parked gsp waiting   listening   mistlee album truman cheer up
joy,car prizecompetition moment informed it felt joy
surprise,car ran gas course fault
fear,car ran me moment felt street thought this end going die
joy,car ride game   old dudes thisisgonnabealonghours
joy,car ride home
joy,car rides dad singing country time hes bad shocker
neutral,car run petrol 
anger,car sadness felt anger way acted negotiating it
joy,car shopping rents day
fear,car skidded wet street
anger,car suddenly broke 
anger,car taled thank fool smashed it sorrypenny
disgust,car uncle sneezes loudest ive heard car started smelling like sneeze sp gagging
anger,car wed away traffic police wrongly parked sign parked
sadness,car years protective parents caused severely socially handicapped young adult
neutral,carats 
anger,care 
neutral,care 
anger,care  allen  steal  thats question 
joy,care  best parents 
anger,care  headache 
sadness,care about but feel unimportant  because y have ir shit ger enough so that y dont need me anymore
joy,care about someones emotional spiritual and intellectual progress   point where feel like should exert myself in that progress and its important  me that is love
joy,care best parents 
joy,care bout money  fuck bitches yall aint notting 
joy,care bout money  fuck bitches yall aint notting 
joy,care business study finals
fear,care concerned country s future  
fear,care concerned country s future  
anger,care re offended  s truth  
fear,care you fuck you
sadness,cared horse  years day sold cried days sad
surprise,cared time show again winning
anger,career wife spoke exasperation husband listened half ear watched television 
anger,career wife spoke exasperation husband listened half ear watched television 
neutral,careful 
neutral,cares 
joy,caressed it affectionately and she curled up ever so close  me giving me that wonderfully warm feeling of divine mor s loving sparsh which cannot forget
joy,caribbean jerk brown rice
sadness,carine looked downcast  mcleish felt uneasy 
sadness,carine looked downcast  mcleish felt uneasy 
anger,carlie harvey feel bitter resentful way ve treated 
anger,carlie harvey feel bitter resentful way ve treated 
surprise,carolyn watched  caught asnishment presence  sudden absolutely natural way talking 
joy,carpet burn shoulder gotten stage itches like hell
joy,carpet skating night
anger,carry  usual guilt of feeling selfish and self centered if spend time or anything on myself
fear,carry jesus carried cross shame hurt pain
anger,cars  thinking buying car  
neutral,cars convenient  yre bad environment 
neutral,case 
joy,case  chambers found work  barrister
fear,case  fact matches ory  mike humorous  energetic  fresh daisy  probably ambitious  frightens 
joy,case forgot hurts hand closed door does amp applying makeup painful
surprise,case need confirmation neil warnock utterly brainless
surprise,case nk wondering   psycho
fear,case u wondering means fuckeverythingandrun
sadness,case unrequited love
fear,cases parliamentary disquiet ministerial proposal minister change mind 
fear,cases parliamentary disquiet ministerial proposal minister change mind 
anger,cash desk gone buy  rolls kitchen paper reduced price queuing screaming children turned taken  roll packets instead  roll packet rebate applied assistant said you time
anger,cassmate laughed scolded teacher
anger,castle starting vigilante group
joy,castle view school mmorow
sadness,casually feeling down getting better jam sesh realise hisry assignment
joy,casually going cough brains night
shame,caswell shuffled obvious embarrassment 
neutral,cat 
surprise,cat chase mouse start am end shoe sanctuary mouse find
sadness,cat died disease
sadness,cat died illness  years lovely cat ill weeks veterinary surgeon ld dying
sadness,cat died painfully slowly
anger,cat eaten fish  ill kill 
anger,cat eaten fish  ill kill 
joy,cat flew night run dark rural road thom yorke sang quotdance dance dancequot
anger,cat frikkin annoying trying work sits books
disgust,cat hooping famous hat amp filas 
anger,cat killed caraccident angry driver car care
sadness,cat likes bf way likes me
disgust,cat party door meow like pack crying babies
fear,cat ran car came home wounded hardly walk dare veterinarian afraid kill him
sadness,cat sick cried think helped invent meowenglish translar hear him
sadness,cat sick vet  it
fear,cat trying kill me tried claw face lay chest comfortable face truesry
sadness,cat use cut lawn lawn meower
sadness,cat vet mercy killing an injection
anger,catch type feelings twitter especially lol
joy,catching american horror sry filling fafsa
joy,catching real housewives atlanta finally break thinking
joy,catching true blood whilst studying
disgust,caught accounts assistant anne riley  disgruntled sacked  ld chairman douglas bishop alleged antics 
fear,caught elevar got stuck floors
fear,caught girls hostel security men expelled school caught
surprise,caught guard asians library actually speaking english
fear,caught huge eel fishing line pulled boat cut line threw lot water later day miles away went swimming comment wondering far eels swabruptly ended swimming fear unseen eel days left district
joy,caught humming quot b c quot  michael jackson numerous times day jolly mood d
anger,caught letter girlfriends handbag certain man felt anger
anger,caught peeping m window getting undressed
fear,caught police kept group delinquents added fear shut up afraid people near future consequences
sadness,caught redhanded slen pawpaw taken elders owning pawpaws
fear,caught supposed do person caught bribe promised report me frightened
fear,caught suspicious individual evening  turned police  turned frightened bilberrypicker lost way 
fear,caught suspicious individual evening  turned police  turned frightened bilberrypicker lost way 
fear,caught thugs aged  asked surrender property remember feeling scared
fear,cause lose try courage gives win knowing outcome
sadness,caused family disturbance
fear,caused good deal consternation dismay westminster 
fear,caused good deal consternation dismay westminster 
sadness,caused pain sorrow boyfriend finishing relationship
anger,causes considerable annoyance germans  find forced speak english settle matter  decree  
anger,causes considerable annoyance germans  find forced speak english settle matter  decree  
fear,cave excursion friends suddenly lost afraid losing way cave
disgust,caveman got fedup walking
joy,caz dads giving bunch jobs do 
joy,cc   lol lwena honey hahaa ò∫ rt   honeys birthday  days 
joy,cdfu rt   faggot gt rt   pump pump
surprise,ce matin je veux parler √† une vraie fan  de laisser n num  bient 
fear,ce moment effrayant quand tu regardes un film dhorreur seul la nuit et que tas limpression davoir entendu un bruit 
surprise,ce quest fabuleux ds la f√™te des pr√©noms cest quon oublie ut le temps mais il tjrs une personne qunous le rappelle
fear,ce soir lordde la deauville remis us les compteur √† z√©ro sauf km tal comme sjavais d√©branch√© la batterie cc  
anger,ceased blame breakdown marriage  instead expressed considerable anger husband 
anger,ceased blame breakdown marriage  instead expressed considerable anger husband 
joy,celebrate christmas let anor sharing wat hav gerproviding  needy hungry wit amp rejoicing
joy,celebrate day pink lt
joy,celebrate in a year and how feel about supporting some of m when  hisry behind most of our traditional holidays is based on some ugly stuff or at least in a lot of cases a lot stuff that don t believe in or support
surprise,celebrate launch sneaky sleeve  copies surprisewe reveal soon exciting
joy,celebrate life chance amp
joy,celebrate life chance amp
joy,celebrate life chance amp
joy,celebrate life chance amp
joy,celebrate life chance amp ty
joy,celebrate life chance amp ty
joy,celebrate life chance amp ty
joy,celebrate peoples happiness increase happiness  lifesecrets
joy,celebrate rainy day hannah sipping tea watching quot nutcrackerquot letting josh play legos
surprise,celebrating besties birthday  tgifs party casino
sadness,celebrating christmas   morrow probably time year
joy,celebrating completion novel  year old glenfiddich glorious moment
